severity,is_high_density,days_overdue,recurrence_count,estimated_block_duration,priority_score
4,1,1,1,2.15,5.7323
5,1,14,2,2.07,9.2964
3,1,7,3,1.16,6.0002
5,0,7,3,4.26,6.8161
5,1,16,4,2.84,9.3878
2,0,11,4,5.32,5.9151
3,0,18,5,3.37,6.2528
3,0,9,5,5.84,6.2848
3,0,8,0,1.93,4.1715
5,1,4,1,5.34,7.1865
4,1,5,4,4.88,8.076
3,0,19,3,4.85,6.8569
5,0,25,2,5.22,8.2746
2,0,1,3,4.81,3.6685
4,1,26,1,4.13,8.7022
2,0,23,5,1.66,5.3439
4,0,26,3,1.16,7.1333
5,1,12,0,5.6,7.7817
1,1,5,1,4.08,4.0651
4,0,4,5,4.98,6.2718
2,1,24,2,3.41,6.8129
5,1,0,5,1.59,7.8287
4,0,20,0,1.63,5.6558
1,1,21,1,4.43,6.9423
1,0,20,2,3.15,4.4148
3,1,5,0,2.0,4.8884
3,0,5,5,3.46,6.0692
2,0,22,0,1.32,4.6193
4,0,15,1,3.91,5.6157
4,1,3,4,2.34,7.0183
3,0,29,0,4.99,6.3857
4,1,10,0,2.55,5.7999
4,0,29,5,3.28,7.2769
1,0,29,5,1.06,4.5208
3,1,29,2,1.36,7.947
5,0,30,5,2.96,7.6081
3,0,23,3,3.4,5.9302
5,1,22,1,4.0,9.478
1,0,8,1,2.46,2.6822
2,0,22,4,4.47,6.0476
4,0,2,4,5.3,6.3783
1,0,18,1,4.9,4.8392
4,1,30,4,1.2,8.4627
2,1,7,2,3.4,5.6702
2,0,4,5,1.52,4.2965
1,1,3,1,2.21,3.5221
2,0,23,4,5.93,5.6326
5,1,30,1,1.71,9.2757
2,0,5,3,3.49,4.1108
4,0,1,0,4.09,4.4703
4,0,19,5,4.51,7.3082
4,0,27,1,3.8,7.2967
4,0,10,0,1.05,4.8284
5,0,3,4,2.63,6.3584
3,1,14,0,3.59,6.1575
1,0,5,5,1.44,4.2055
4,1,21,1,2.75,8.1787
2,0,16,3,1.17,4.8765
4,1,29,4,1.39,8.613
2,1,23,1,2.98,7.395
2,1,5,5,1.66,6.0141
4,0,18,4,3.84,7.1448
5,0,29,2,4.45,8.2519
2,1,24,0,5.0,6.9981
2,0,1,5,2.0,3.9056
4,1,14,2,1.84,8.0395
2,0,10,1,1.52,3.8306
2,1,7,3,4.18,6.3607
4,1,25,4,4.53,8.5041
4,0,18,0,1.16,5.743
1,1,12,4,5.68,6.5965
5,0,11,1,1.26,5.8713
5,1,4,4,3.71,8.4885
2,1,5,0,4.55,4.8492
5,0,25,1,5.35,8.1282
2,0,21,4,4.57,5.7971
1,0,3,3,5.01,3.668
4,1,18,5,2.7,9.1444
4,0,19,1,5.07,7.2649
4,1,0,5,1.4,7.1881
5,1,19,1,5.47,9.145
1,0,16,3,3.74,4.9685
5,0,11,5,5.09,8.43
5,1,14,2,3.26,8.7261
1,1,0,0,4.22,2.7543
1,0,25,2,3.63,4.4604
1,0,13,4,4.66,4.4774
1,0,5,3,1.41,2.3869
4,0,4,2,1.3,4.9691
3,0,29,1,2.24,6.2796
3,1,10,4,1.8,7.1045
1,1,30,4,5.36,6.5044
3,1,3,2,2.1,5.5376
3,1,12,2,5.88,7.2525
1,0,10,3,2.68,3.4605
3,0,2,0,1.91,3.2405
5,0,0,2,4.95,5.6735
2,1,5,2,4.29,5.3638
2,1,17,5,3.49,7.3749
1,0,23,1,3.78,4.6224
4,0,9,5,4.6,7.6135
1,1,4,5,2.14,5.2393
4,1,22,4,5.98,9.3638
2,0,9,0,5.87,3.9614
1,0,11,1,4.25,3.0861
5,1,1,3,2.0,7.3505
3,0,12,3,4.4,6.0981
4,0,7,2,1.36,5.2332
3,0,1,2,1.15,3.5247
3,1,19,3,2.29,7.7175
1,1,0,2,3.31,3.8808
3,1,30,0,5.34,8.3746
5,1,4,5,4.64,8.8645
3,1,8,2,4.71,6.1194
1,1,16,4,3.13,6.4175
5,1,8,2,2.73,8.0865
2,0,10,1,2.86,4.5384
3,0,14,0,5.94,5.5734
1,0,23,1,1.2,3.9103
2,0,5,1,5.34,3.5438
2,0,22,4,3.89,6.2274
4,0,2,0,3.19,4.146
5,0,29,0,4.63,8.2925
3,1,30,0,3.43,8.1851
1,1,16,0,5.37,5.1584
4,0,4,0,5.5,4.729
5,0,29,4,3.11,7.8912
4,1,27,2,2.38,8.5517
5,0,11,1,3.96,6.8028
5,0,17,0,5.56,6.9363
3,1,13,2,2.05,7.2544
5,0,20,2,4.11,7.9904
4,1,23,1,4.16,8.9019
5,0,10,4,4.67,7.3597
3,1,8,3,1.66,6.7446
3,1,1,3,4.58,6.4208
4,1,11,2,5.55,7.7574
2,0,2,5,1.9,3.9317
2,1,2,5,2.19,5.8916
5,0,0,1,5.86,5.735
1,0,7,3,1.9,2.8908
5,0,21,2,5.27,7.9589
4,0,27,4,3.46,7.083
4,1,28,3,2.24,8.2893
4,1,7,2,5.35,7.0779
4,0,10,2,3.23,5.2957
4,0,8,0,3.57,5.0328
3,1,4,4,2.8,6.661
2,0,13,0,3.96,3.5051
4,1,27,1,1.82,8.9098
1,0,29,0,2.96,5.2476
1,0,2,0,5.85,1.7318
1,1,20,3,2.29,6.4936
1,0,4,5,4.28,3.9307
3,1,4,2,2.63,5.7482
1,0,18,4,4.87,4.7794
4,0,26,0,1.65,7.6124
5,0,13,4,5.85,8.2886
1,1,25,5,3.27,6.3283
3,0,29,5,2.18,6.0207
3,0,3,0,1.37,3.5835
1,0,24,1,1.85,5.1433
5,0,12,0,3.6,6.7091
1,1,9,3,2.69,5.5097
3,1,24,2,5.14,7.9842
2,0,17,1,3.15,5.1215
4,1,7,0,2.24,6.0144
3,0,7,4,4.09,6.0666
1,0,6,1,4.53,3.0749
4,0,7,1,1.84,4.6805
1,1,13,0,1.84,4.6801
1,1,18,1,1.18,5.6221
2,1,28,4,4.68,6.4702
4,1,5,5,4.32,8.3881
4,1,0,1,3.37,5.4964
2,1,22,5,5.22,7.1173
3,1,30,4,5.03,7.9013
1,1,14,0,3.93,4.8084
5,1,0,2,5.34,7.2852
1,0,24,1,2.03,4.1947
1,1,16,2,1.56,5.6709
3,1,0,4,2.35,6.1053
